"","Binomial","Common_name","Num_pops","Start_year","End_year","Avg_p_chg"
"207","Sturnus_vulgaris","Common starling","14","1950","2019","256"
"208","Sylvia_atricapilla","Eurasian blackcap","12","1960","2019","172"
"209","Sylvia_communis","Common whitethroat","9","1960","2019","173"
"210","Sylvia_curruca","Lesser whitethroat","5","1960","2019","193"
"211","Tetrao_urogallus","Western capercaillie","9","1976","2015","28"
"212","Tringa_erythropus","Spotted redshank","11","1976","2019","4685"
"213","Tringa_nebularia","Common greenshank","15","1966","2019","3250"
"214","Troglodytes_troglodytes","Northern wren","28","1960","2019","257"
"215","Turdus_iliacus","Redwing","7","1976","2019","140"
"216","Turdus_merula","Eurasian blackbird","13","1964","2019","103"
"217","Turdus_philomelos","Song thrush","9","1963","2019","93"
"218","Turdus_pilaris","Fieldfare","6","1979","2019","232"
"219","Vanellus_vanellus","Northern lapwing","32","1963","2019","665"
"220","Ailuropoda_melanoleuca","Giant panda","1","1985","2000","0"
"221","Alces_alces","Elk / moose","18","1970","2017","125"
"222","Bison_bonasus","European bison","21","1952","2017","2755"
"223","Canis_lupus","Grey wolf / Gray wolf","70","1959","2020","648"
"224","Capra_hircus","Sind ibex","1","1973","1989","122"
"225","Capra_caucasica","East Caucasian tur / Daghestan tur","1","1989","1994","32"
"226","Capra_falconeri","Markhor","3","1988","1999","83"
"227","Capra_ibex","Alpine ibex","18","1950","2016","553"
"228","Capra_nubiana","Nubian ibex","1","1985","1997","41"
"229","Capreolus_capreolus","European roe deer","36","1959","2019","190"
"230","Myodes_rufocanus","Grey-sided vole / Grey red-backed vole","7","1951","2002","3559"
"231","Dama_dama","Fallow deer","4","1953","2006","1083"
"232","Gazella_cuvieri","Atlas gazelle / Cuvier's gazelle / Mountain gazelle","2","1995","2001","70"
"233","Gulo_gulo","Wolverine","20","1979","2020","361"
"234","Lemmus_lemmus","Norway lemming","1","1969","1999","100"
"235","Lynx_lynx","Eurasian lynx","34","1964","2018","1064"
"236","Lynx_pardinus","Iberian lynx","11","1985","2017","211"
"237","Marmota_bobak","Steppe marmot","1","1960","1988","1223"
"238","Pipistrellus_pipistrellus","Common pipistrelle","2","1985","2011","86"
"239","Procapra_gutturosa","Mongolian gazelle","1","1976","2002","700"
"240","Rangifer_tarandus","Reindeer / Caribou","36","1960","2016","191"
"241","Rupicapra_rupicapra","Tatra chamois / Alpine chamois","29","1962","2018","724"
"242","Saiga_borealis","Mongolian saiga","1","1984","1997","1200"
"243","Saiga_tatarica","Saiga antelope","2","1968","2000","133"
"244","Ursus_arctos","Grizzly bear / Brown bear","52","1950","2019","184"
"245","Testudo_hermanni","Hermann's tortoise","6","1982","2013","102"
"246","Leiopelma_archeyi","Archey's frog","1","1992","1993","150"
"247","Leiopelma_pakeka","Maud Island frog","1","2001","2008","1"
"248","Pseudophryne_corroboree","Corroboree frog","2","1994","1998","825"
"249","Pseudophryne_pengilleyi","Northern corroboree frog","2","1987","1998","26"
"250","Anas_superciliosa","Pacific black duck","1","1981","2008","65"
"251","Anseranas_semipalmata","Magpie goose","2","1972","1988","5961"
"252","Himantopus_novaezelandiae","Black stilt","1","1983","1992","133"
"253","Crocodylus_novaeguineae","New Guinea crocodile","19","1981","1995","244"
"254","Crocodylus_porosus","Saltwater crocodile / Estuarine crocodile","34","1971","2013","268"
"255","Pseudemydura_umbrina","Western swamp turtle","3","1967","2001","299"
"256","Ceryle_rudis","Pied kingfisher","3","1996","2009","1195"
"257","Haliaeetus_vocifer","African fish-eagle","5","1965","2016","67"
"258","Pelecanus_rufescens","Pink-backed pelican","2","1965","2009","92"
"259","Calidris_pugnax","Ruff","11","1970","2016","4787"
"260","Phoeniconaias_minor","Lesser flamingo","4","1994","2009","543"
"261","Hippopotamus_amphibius","Hippopotamus","13","1974","2013","434"
"262","Crocodylus_niloticus","Nile crocodile","10","1984","2012","137"
"263","Ingerophrynus_divergens","Crested toad","1","1962","1984","600"
"264","Rentapia_hosii","Boulenger's Asian tree toad","2","1970","1984","188"
"265","Limnonectes_blythii","Blyth's frog","2","1970","1984","35"
"266","Chalcorana_chalconota","Copper-cheeked frog","2","1970","1984","97"
"267","Odorrana_hosii","Hose's frog","1","1970","1984","325"
"268","Limnonectes_ibanorum","Tributary wart frog / Ibanorum true frog","2","1970","1984","9"
"269","Pulchrana_signata","Matang frog","2","1970","1984","81"
"270","Anhinga_melanogaster","Oriental darter","6","1990","2007","59"
"271","Nycticorax_nycticorax","Black-crowned night-heron","27","1974","2016","11767"
"272","Pelecanus_crispus","Dalmatian pelican","23","1967","2010","622"
"273","Pelecanus_onocrotalus","Great white pelican","7","1974","2007","450"
"274","Pelecanus_philippensis","Spot-billed pelican","3","2003","2007","130"
"275","Phalacrocorax_carbo","Great cormorant","55","1950","2017","23283"
"276","Microcarbo_niger","Little cormorant","7","1990","2012","152"
"277","Platalea_minor","Black-faced spoonbill","6","1990","2006","1912"
"278","Podiceps_cristatus","Great crested grebe","25","1951","2019","746"
"279","Tachybaptus_ruficollis","Little grebe","16","1975","2012","946"
"280","Platanista_gangetica","Ganges River dolphin","7","1993","2017","52"
"281","Platanista_minor","Indus blind dolphin / Indus River dolphin","7","1974","2018","64"
"282","Batagur_baska","River terrapin","1","1992","1994","300"
"283","Callagur_borneoensis","Painted terrapin","1","1985","1995","128"
"284","Crocodylus_palustris","Mugger crocodile","4","1980","2017","313"
"285","Gavialis_gangeticus","Gharial","5","1979","2016","817"
"286","Acipenser_transmontanus","White sturgeon","4","1988","2018","679"
"287","Alosa_pseudoharengus","Alewife","21","1968","2018","1793"
"288","Alosa_sapidissima","American shad","17","1970","2018","1172"
"289","Coregonus_clupeaformis","Lake whitefish","7","1955","2018","766"
"290","Coregonus_hoyi","Bloater","2","1974","2006","8926"
"291","Crenichthys_nevadae","Railroad valley springfish","3","1981","1996","194609"
"292","Moxostoma_robustum","Smallfin redhorse","1","1996","2000","2"
"293","Notemigonus_crysoleucas","Golden shiner","4","1980","2018","179"
"294","Oncorhynchus_gorbuscha","Pink salmon","23","1960","2017","3736"
"295","Oncorhynchus_keta","Chum salmon","31","1955","2019","59809"
"296","Oncorhynchus_kisutch","Coho salmon","32","1965","2019","17190"
"297","Oncorhynchus_nerka","Sockeye salmon / Red salmon","53","1950","2017","145223"
"298","Oncorhynchus_tshawytscha","Chinook salmon","47","1956","2019","22385"
"299","Perca_flavescens","American yellow perch","14","1971","2018","370"
"300","Salmo_salar","Atlantic salmon","66","1950","2018","607800"
"301","Salvelinus_confluentus","Bull trout","26","1985","2002","473"
"302","Salvelinus_namaycush","Lake trout","6","1959","2018","366"
"303","Sander_vitreus","Walleye","25","1961","2018","490"
"304","Xyrauchen_texanus","Razorback sucker","1","1988","1992","78"
"305","Acris_gryllus","Southern cricket frog","1","1988","1990","143"
"306","Ambystoma_laterale","Blue-spotted salamander","1","1994","1995","60"
"307","Ambystoma_maculatum","Spotted salamander","4","1985","2001","212"
"308","Ambystoma_opacum","Marbled salamander","1","1979","2006","109600"
"309","Ambystoma_talpoideum","Mole salamander","2","1978","2006","62"
"310","Ambystoma_tigrinum","Tiger salamander","2","1979","1995","20050"
"311","Aneides_aeneus","Green salamander","2","1982","1999","225"
"312","Aneides_hardii","Sacramento mountain salamander","6","1987","1996","183"
"313","Anaxyrus_americanus","American toad","6","1977","2006","43"
"314","Anaxyrus_boreas","Western toad / Boreal toad","5","1982","2006","311"
"315","Anaxyrus_fowleri","Fowler's toad","6","1988","2012","358"
