"ID","Binomial","Species_id","Site_ID","Site_name","Latitude","Longitude","Region","Ccamlr_id","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
21,"Pygoscelis_papua","GEPE","DOBE","Dorian Beacon",-64.811111,-63.511389,"Central-west Antarctic Peninsula","48.1",2.74249605538965,3.07917249161042,3.44751905046538,3.86311394952192,4.31199073733395,4.82849953144809,5.36977238322983,5.94020485121779,6.66419949590907,7.318760705221,7.76789886197339,8.41598740308021,8.61701406594591,9.79331740187116,11.5629667915674,13.6001530511307,14.4698539844761,16.5816386460701,18.5688284348233,21.2082807529526,23.8527042599175,27.4479864592816,30.9696998748623,34.8271876132205,38.9062217737317,41.5833356290557,45.9365270035179,50.960152131416,53.3841472005852,70.9415607362624,84.822169106218,80.5105679919835,104.177908673104,113.309285059051,132.261266566999,180.524955111238,167.435331354333,165.110785077387,185.456903708827,183.188293058705,147.905084226747,167.675696147578,167.244093095869,192.575645757159,183.243002185135,181.114436014651,199.616749941582,176.104050794654,163.807738338084,179.056588706354
22,"Pygoscelis_papua","GEPE","DUPT","Duthiers Point",-64.8049,-62.8179,"Central-west Antarctic Peninsula","48.1",5.6872124366832,6.36307901681091,7.06102355956816,7.87638748028482,8.8088007960161,9.79017665644807,10.8969194999789,12.10165496697,13.5102211404678,14.8328179944632,15.7131369984449,17.0500984279489,17.5389700885041,19.75371292561,23.5983708976276,27.7206443997059,29.474465495666,33.8348272648356,37.8615762755036,43.2465804789253,48.2555449725625,55.1744912024624,61.9639702509267,69.7365067180236,77.8614420081622,82.8788343661056,91.212235656585,100.931217181841,107.23899166182,142.851453559125,170.045126853798,161.639831990741,208.382892778528,226.397941973926,265.177852019248,304.106913910458,322.815719107453,367.746968565458,402.756797189514,500.651586400346,480.844648511355,186.882154057005,246.644241344585,290.660165164278,342.208980282887,355.678577847931,357.930739815094,380.618493491895,354.098054182749,383.736368183243
26,"Pygoscelis_papua","GEPE","FORT","Fort Point (Greenwich Island)",-62.542,-59.58,"South Shetland Islands","48.1",10.5133765629477,11.8265195507372,13.3268490245727,14.992167357564,16.843082885281,18.7658825922545,20.7831979159995,23.0289684403608,25.6135679215356,28.3055254118283,29.8774170561096,32.7325603126485,33.6825632275677,38.1003352209032,45.5450877779886,53.6361501782084,57.0682002872815,64.9774026413884,72.583354194351,83.1797684548495,93.4514736788792,107.217738079361,120.938409898165,136.445918785753,153.549706584341,164.406564034002,181.433241959551,200.737378460485,212.559044687201,282.258839870346,323.130673475477,291.79572468692,360.480596321199,370.921433273893,411.885224157555,447.028401017768,452.306586253265,492.551716063956,515.042531606104,609.396150916647,558.652724665224,718.972211238305,767.162406431261,729.355566851833,836.886077153601,748.612949682751,656.656573762779,1004.09886487173,923.056784212181,1004.76049292557
27,"Pygoscelis_papua","GEPE","GALE","Galindez Island East",-65.2476,-64.2399,"Central-west Antarctic Peninsula","48.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.3877676764224,73.5081771451615,84.1371556602649,93.2122120802382,139.554550479406,161.53440572848,263.578097778676,369.701611630228,583.915214025771,392.60327023622,396.423707446107,389.754004406021,404.70564095569,366.41483164197,400.768894811473
29,"Pygoscelis_papua","GEPE","GEOR","Georges Point (Ronge Island)",-64.6694,-62.6696,"Central-west Antarctic Peninsula","48.1",165.21890629877,185.489891476448,207.7812507046,232.190148884353,260.548564425686,289.761603273159,321.934390274792,358.17612665192,398.259453910948,439.576705546022,463.481827627291,507.409175460676,525.13189033628,590.438310861675,701.230329486449,821.076917629926,862.983730631282,986.039965979791,1100.51869587585,1225.62708443053,1338.79309487691,1491.14926071298,1631.33069842327,1703.48484464761,1752.13937416105,1683.73620076043,1667.80586971605,1654.83043040802,1562.98925476371,1870.88044123922,2005.35317057472,1713.05440284719,1977.32984868915,1921.39545649446,1999.0530865904,2458.59942886536,2162.27842664979,2024.40525638494,2193.03240600063,2542.6941427322,1168.43806702703,2405.63133238095,3286.15221289835,2828.93808063864,3440.6301384399,3359.91983172211,3903.56881350063,2990.09529755336,2304.59676502316,2439.03846150161
30,"Pygoscelis_papua","GEPE","GERL","Gerlache Island",-64.601,-64.214,"Central-west Antarctic Peninsula","48.1",734.545781204175,818.322452070847,912.665518619982,1021.01313786009,1149.04121696891,1280.22683718705,1425.50659312099,1587.01479663213,1758.02729337961,1604.7667961052,1415.93615928131,1278.60079945263,1093.42275028776,1032.90991535619,1024.1209651776,1090.91333322051,1054.51242181414,1099.20533816312,1122.02203702144,1166.226571683,1190.82725874044,1240.71831992666,1274.47752942078,1302.61287770001,1328.4018551847,1293.49681798324,1297.93791957085,1295.78728767944,1238.90643338693,1496.21383511361,1629.37248514768,1406.14472032998,1645.69065284749,1628.20124808003,1722.98370450942,1798.33674174644,1757.48529349799,1816.99878180828,1815.16982912846,2057.81767115323,1808.20016628645,2244.62150023167,2374.75360704578,2224.49019556391,2524.77096948843,2506.83875524861,2440.66271386668,2507.15722789301,2255.18618411711,2438.32448077624
31,"Pygoscelis_papua","GEPE","GLAN","Glandaz Point",-65.0911,-63.9591,"Central-west Antarctic Peninsula","48.1",24.6191355788104,27.4347881724234,30.6646207627104,34.0523657034175,37.963952604108,42.3398063619518,46.7153074570702,51.7771222174216,57.6313423069729,63.2619985497995,67.5443723126528,73.3781424634871,75.035745795508,75.6084255010605,80.7345674929747,84.3563292941662,80.3897479309201,82.2617722299976,82.2177467407955,83.5931197031046,84.0267274483321,86.1857952466827,87.0954294558687,88.1740658977494,88.7213939587618,84.6486435329671,83.4229122725768,82.0849398255629,77.5356463532135,92.4581005731843,99.1712999422589,84.9104558788426,99.278848452885,95.6311457715844,100.396275014227,102.562799713898,98.2200244995725,96.0076426671396,49.2155329795558,63.504964551749,63.3177388143949,103.012386056792,144.843357561213,152.139422127283,192.346930051283,168.07077578908,142.136408357891,127.153556047949,100.510317267828,95.1111259391934
38,"Pygoscelis_papua","GEPE","HANN","Hannah Point",-62.6545,-60.6134,"South Shetland Islands","48.1",165.43145151989,186.291361484341,208.303893782141,232.97308554458,261.263019984631,290.754230458856,323.228404952021,359.402189254651,401.543252718971,442.055598845777,469.711653946743,512.569166082198,525.292387901778,598.988343383646,714.829271672444,833.291420461577,883.412531069241,1016.19093411688,1025.53647468687,1059.96936562391,1071.70013477987,1101.93631141674,1127.71496658181,1143.96934933189,1162.26846630361,1125.36235847943,1117.48055941231,1348.25926950616,1289.31444638713,1574.2696956517,1721.7643580373,1502.1111490562,1780.31106493586,1774.18137968783,1884.51666366351,1931.78903199854,1860.21647891031,1907.45986054411,1893.54349469471,2132.5725926786,1850.89141901969,2246.79093646508,2360.85461920299,2210.34905503464,2407.46634236885,2312.06143880631,2339.19083155726,2494.84749557789,2331.62676380178,2607.89119516229
39,"Pygoscelis_papua","GEPE","HARM","Harmony Point",-62.3064,-59.2425,"South Shetland Islands","48.1",612.533285352782,688.088865293748,769.974318267031,860.892692201386,966.318607366858,1062.27925582,1183.40006027066,1312.40003116859,1465.83984086049,1607.31189882484,1720.23950512732,1859.14672939717,1914.92751216597,2152.53811809644,2551.29851374789,2958.71752383707,3119.72449975499,3555.2397608715,3957.69975149567,3936.70323622531,3863.15561769462,3840.28256859595,3764.83812478038,3688.98414119957,3610.73439087171,3349.41781443385,3376.03295895327,3415.92002287113,3314.75010699764,4050.01346598872,4436.11681303108,3857.01784369597,4570.1717638091,4511.64400412717,4818.17869483708,5013.69583701764,4936.28160405901,5160.74861300276,5161.25723561579,5906.98254010805,5213.96286436716,6472.52975951995,6923.96594222942,6603.05408276123,7588.7453053215,7594.55351016851,7427.14285174139,7686.9779936816,6963.94193713739,7616.32135706137
40,"Pygoscelis_papua","GEPE","HERO","Heroina Island",-63.3944,-54.6083,"Northeast Antarctic Peninsula","48.1",12.2469028965447,13.757113214457,15.4354788637365,17.334805830321,19.5317392568742,21.8237867247387,24.2990333160142,27.0066615083557,30.0701195641702,33.1603700623298,35.2367908500192,38.6437406405197,39.538848932756,45.0037738566131,53.7714552432931,62.7933774915825,66.4364762952371,75.9037494798954,85.5869335649098,98.2689506867418,111.263110390136,127.172136017045,143.173429617399,162.100109995575,183.288181252843,194.832550464823,214.94852361908,201.446843157512,181.838418371166,206.50806116158,211.625004269064,171.541971981426,189.982043299813,175.776470646894,174.660029510809,170.451020504664,175.205452927102,193.447771071227,205.323264275271,276.730893746202,290.987697420096,429.721064601457,547.519268930472,618.20655211379,836.148642594884,997.574504598644,987.460149407429,1023.92754582596,929.896702975121,1020.23366933924
41,"Pygoscelis_papua","GEPE","HOPE","Hope Bay",-63.3972,-56.9978,"Northeast Antarctic Peninsula","48.1",2.84204877707985,3.16721371802934,3.55220985084579,3.99065236485188,4.47864773007012,4.98659656740944,5.56344737808239,6.20686890836141,6.92497980867445,7.61489830579903,8.10557293332997,8.82368187534568,9.0723397908258,10.3347917286421,12.3125376190226,14.4066852184324,15.2631633478065,17.3756761057368,19.5309185812187,22.311780191608,25.0579475209664,28.6449530640441,32.5728708404996,36.53981810019,41.0552119682369,43.8607488222915,48.1345150271653,52.882509269993,55.184359859611,73.6546053381844,88.0624329910651,83.2543463984688,108.183031153832,117.454247923848,136.647057855322,156.116915638186,167.82952829781,190.644917429005,210.394429447148,263.547282847712,254.530627545209,344.121252666019,399.959395307351,417.434707413638,519.079528743886,499.667207035702,471.555884584239,467.219329140587,426.0492416682,464.574650699365
44,"Pygoscelis_papua","GEPE","HUMP","Humphries Heights",-65.0557,-63.8637,"Central-west Antarctic Peninsula","48.1",9.6074142292379,10.8059475032814,12.0805541228947,13.4669524522755,15.0441294510775,16.7107950516699,18.55812474613,20.6736652026975,22.9798060029047,25.4317484956677,26.9186590360134,29.4117679927124,30.0010498381618,30.8747790470896,33.5429229939049,35.5256103462986,34.1646807214648,35.4131520010422,36.2262037277635,37.2571826445306,38.1074445483065,39.6720515973328,40.8163953698253,41.7309729254767,42.3818201695207,41.086947960917,41.1530770200552,41.119221662638,39.0571370140676,47.4035821097564,51.5881128385767,44.4578488638172,52.1717329168619,51.2323062765993,54.3863167261531,56.6336217895461,54.3308797103459,55.9228505842455,22.8145088637024,21.8515578275949,16.3224044405109,32.7786723985634,56.7944436747418,52.8183547536977,58.7731106404225,59.3378536246917,58.3797119001135,60.074661141171,54.5875241772692,59.4322031416939
50,"Pygoscelis_papua","GEPE","JONA","Jonassen Island",-63.5425,-56.6834,"Northeast Antarctic Peninsula","48.1",21.3960095110887,23.840906975086,26.4439857890823,29.2888777277003,32.5291318212108,35.8015304866793,39.7795266260311,44.4096488967465,49.1825918654255,53.9234254241351,57.0928270956371,61.7252486534992,63.7127973033215,71.8976489272254,84.4700032461698,98.7011153581357,104.479096212644,118.858631977358,132.028880493427,150.148051527687,166.834882933603,189.930208037716,214.068744243584,240.053556849268,268.078659310053,286.135691062418,244.730562014825,209.265579318185,171.350765787307,175.451306252906,162.222526251475,120.458778307939,118.20397987403,97.4414690366417,86.1529866076039,74.9712903474857,60.8950266978348,53.0092774234383,44.0799181725794,48.3256425938223,40.5963767473475,48.5709658854231,49.5833225548738,45.3312812671379,49.4692081661043,48.0102321342042,45.0443974241813,46.3704640735637,41.8357942924362,45.5254069420273
51,"Pygoscelis_papua","GEPE","JOUB","Joubin Islands",-64.7744,-64.3992,"Central-west Antarctic Peninsula","48.1",34.5730576715337,38.8132485368079,43.2424101612866,48.5984706310747,53.9687772505741,53.0639867399119,51.968784004073,50.4343956816174,49.3995138856345,47.5046943535922,44.2727323631824,43.9286149690448,41.064241943822,50.0049235043267,61.0147030364368,68.1905805028791,69.5183294570395,77.8471230178922,84.8545881745104,94.7705162352299,103.967394255931,108.990507717917,112.55207782598,115.717920598782,118.700649309842,116.524190637933,117.634514661367,119.478177179204,115.134253965119,140.49197575326,154.651756816867,134.523377845714,160.031100078918,159.509109628671,170.597549006893,179.789491100201,175.642901864203,182.928223895874,184.388949336179,210.281894236305,184.923947346972,230.128284279773,246.274075880437,236.191938570153,269.83928911085,273.583947670015,267.508604468059,276.548723243527,251.220909402714,273.724302935445
52,"Pygoscelis_papua","GEPE","JOUG","Jougla Point",-64.827,-63.4932,"Central-west Antarctic Peninsula","48.1",205.116606144754,228.973855496733,254.914381114355,283.981918421079,316.398835860389,354.385651250166,394.093533671083,437.585328590461,487.237781698309,534.467183746383,565.245122576827,614.137706194422,628.142728786927,786.05242643136,943.681420822507,1122.93318224094,1206.81654244096,1410.24489205181,1615.00772974181,1636.56006512217,1638.9178023951,1671.53446641093,1676.9509516114,1679.27663216309,1685.84130014863,1618.91081179176,1595.58492348844,1543.96458801516,1437.80404433293,1679.9247629932,1897.38947287269,844.054877320455,1549.05822231464,1536.30425709366,1308.88619562853,1406.97482513754,1282.21970461915,1276.10163232553,1474.60375761617,1519.42441780741,1145.45690251386,1172.96089173439,1265.46585332198,1264.88452574697,1343.48971887997,1118.1671506618,1132.10436964931,1088.52420426752,1002.026758142,1002.61701347425
56,"Pygoscelis_papua","GEPE","LION","Lions Rump",-62.1331,-58.1229,"South Shetland Islands","48.1",381.632745763296,426.852311415708,479.81111342985,536.225353874692,601.702645131639,674.790007112331,749.567773144405,839.325738944566,939.84762502639,1043.05324123029,1106.49853388543,1346.33695088877,1294.00922629665,1374.50891558991,1533.27198879538,1671.12088525173,1661.03611575518,1784.08851291735,1868.13847904643,1998.92337453056,2117.76421917959,2276.28104477561,2404.14922959256,2525.18195902096,2640.33452663963,2205.4205438592,1763.060827198,1790.11082366651,1740.51187285715,2145.80798612124,2361.66216134737,2068.39082410714,2484.12600009197,2480.65255520301,2668.00720070054,2830.52667463472,2798.03298711207,2943.13906963296,2992.55070908192,2709.65717034702,3000.09093041197,3739.62206984256,4020.50429688721,3845.53952008965,4373.20735776945,4385.43515776911,4325.85933242455,4491.52732319276,4085.57925624851,4480.49389573751
57,"Pygoscelis_papua","GEPE","LLAN","Llano Point",-62.176,-58.446,"South Shetland Islands","48.1",1052.90226422741,1181.14248025449,1320.46690200289,1477.66077706686,1659.48207878737,1836.24148360262,2057.55567376489,2297.59619958114,2565.08305145708,2974.68971450994,2137.36596380957,2060.07981331019,1923.6185393642,2089.86046468648,2371.15917829732,2730.23572746955,2608.37953333119,2636.00110245717,2388.36670965034,2280.39171197835,2259.73217447596,3143.87580821726,2363.38490682333,2481.39946506665,2165.26435741185,1551.14046150368,1611.68044809295,1692.50197762659,1629.40462585993,1910.19305483601,2248.84496052317,2141.27164068224,2500.25775898289,2425.31372880823,2730.28754504059,2867.26960282663,2832.99832475617,2993.48892483985,3030.12226286835,3492.6027965573,4794.48800448195,5953.08995135202,6372.27770149022,6118.83426997923,6999.9199578752,7028.34134118141,6937.13964448515,7163.11157117137,6504.68238842153,7078.05046897307
58,"Pygoscelis_papua","GEPE","LOCK","Port Lockroy",-64.8231,-63.484,"Central-west Antarctic Peninsula","48.1",45.5291923773127,50.4057109312933,56.1357310767059,63.0143304092584,70.2812804681889,78.1998163527767,86.8433453488452,96.3656119716156,106.387507411375,116.696779925564,123.652948839551,134.022414249292,137.553215288093,155.319143404161,184.364578274586,216.80448488092,229.358279847946,264.047475395869,295.148379757527,334.768544203605,375.617139637243,429.97920916014,485.856217947504,547.203028882712,614.831047452476,659.028282687615,725.47742896667,722.753471801161,703.190468909653,779.267333083017,902.878518915961,405.733480700753,788.060644693669,721.748148145631,645.560564745283,679.541303135966,557.542428513026,617.242796693676,615.677185698683,661.870282619505,625.524828023751,657.656609931972,584.692248717064,516.614489573513,612.025591087858,586.986603023118,548.114191874371,509.207998556315,462.908362819464,504.942944042363
60,"Pygoscelis_papua","GEPE","LOUB","Loubat Point",-65.0776,-63.9265,"Central-west Antarctic Peninsula","48.1",66.2408071306967,74.224172311023,82.7330912523133,92.5604701479386,103.49344942262,115.162254100231,127.778604790838,143.077741826934,159.744621856999,176.225580306032,187.84468509483,203.620737756032,207.985164266213,212.951347742943,227.851456018274,241.01280162556,231.446327017364,240.247277546955,243.005883822854,249.524776966059,252.319644590811,257.924815153852,262.601192060789,267.225161428945,271.285946070784,263.80951987751,260.712534564931,259.085750004369,246.794535964276,297.441462980378,321.868538424298,273.898231944582,321.247210147628,315.773555923415,331.656468752131,341.652006093897,328.877909401483,301.095516940024,170.864819653302,245.524295747775,273.022249551132,426.297351127616,568.440464141504,542.457672737328,620.295440977818,624.710658485064,615.424363612346,638.58852335746,578.335943058862,632.952803742479
63,"Pygoscelis_papua","GEPE","MIKK","Mikkelsen Harbor (Trinity Island)",-63.9022,-60.791,"Central-west Antarctic Peninsula","48.1",85.326021983685,95.4379619097779,106.981280428665,119.827235643805,133.060916002218,148.799685643544,166.813149881469,185.706436896212,206.978128319943,229.287269502523,243.682881939433,265.455958677049,272.980316215392,311.590372248807,346.991172434697,382.423968879176,379.045477665613,402.831583763912,421.966197175824,453.393767926297,478.110554226057,511.428410172792,539.433574372179,570.620707477801,596.059790796935,594.427479677505,598.162940604604,602.044282350772,579.949175364045,706.794513234995,778.713955385405,672.758175131609,799.732443821927,799.905394200001,852.717631204024,880.367547549979,865.199745424886,905.767562856628,836.26126158007,856.617262652216,674.832049907477,1022.44056393664,1318.64630017781,1261.17828019963,1262.72528692771,1202.45163509241,1261.24539945961,1191.4064129829,1030.24781301497,1114.45695699599
65,"Pygoscelis_papua","GEPE","MOOT","Moot Point",-65.2062,-64.078,"Central-west Antarctic Peninsula","48.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7526567678985,21.9648306255666,24.3598286763336,25.7229279863989,34.3852413179864,41.2424047575286,39.3375891749215,51.1201757450418,55.2988509198606,64.5110261011281,74.2065138304179,106.101898796678,168.909655823716,223.814782453513,323.101832944671,370.414121982137,453.533727137278,479.154412005555,463.405666697254,557.647465246344,523.678711610206,560.96853638249,633.126949565524,574.951399139123,629.856726519204
